#,@@ORI@@,@@WINS@@,@@RSA@@,@@OVER@@,@@HS@@,@@LIGHTS@@,Electricity:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),ZONE ONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](RunPeriod)
0,78.16382028,0.053802192,0.418632439,1.637014332,17.19553309,888.7992273,9404491280,30747395742,178490805.8,6898
1,23.60770407,0.064954969,0.555359289,0.13212315,16.91377255,958.3591451,10140513118,29147949673,561839853.9,6807
2,85.61032605,0.083690645,0.649926385,1.753640615,19.75772869,893.2584681,9451675042,55906456798,264190321.3,6643.5
3,69.43457561,0.050434293,0.55201044,0.276760797,19.63027421,1167.045742,12348651047,49637586712,504282183.7,6417.75
4,36.63736382,0.069938166,0.802213415,1.631944355,17.90153042,976.628502,10333823375,37432515190,345733198.1,6845
5,88.75034312,0.052187893,0.753701444,1.688164236,18.44380095,941.7583608,9964858226,40357024601,246702620.8,6827.75
6,75.35436905,0.039318502,0.644581069,0.560625553,17.98072856,989.1094946,10465886256,34773746551,355160628.3,6730.75
7,75.06108139,0.052897875,0.494431241,0.217529034,19.17979378,1139.076062,12052700502,45897690000,503705459.1,6694
8,13.2354374,0.043270936,0.693014101,0.234421265,19.63267102,1062.932253,11247013721,49230469472,592678362.7,6440.25
9,25.06554156,0.06346642,0.768831633,0.782339561,17.16432331,905.878659,9585210796,31126902717,426273989.4,6815
10,27.57175895,0.085824551,0.728516997,0.334640836,19.09529833,943.5584878,9983905586,49092441471,582225965.9,6817.25
11,37.76530232,0.058866975,0.56558342,0.449493823,19.37260072,1162.116891,12296498282,48400323201,512391610.9,6640
12,80.15977361,0.066053066,0.739176618,1.656383995,19.56307126,919.4072326,9728358257,52099386430,262699622.8,6716
13,78.39683216,0.040200766,0.5256151,0.263437927,17.46504879,914.6448487,9677966901,31072004593,386172798.8,6751.5
14,57.0817722,0.069176721,0.767502403,1.497813936,20.01618892,946.4219313,10014204026,56654787417,305701424,6140.25
15,7.211486789,0.082471618,0.387773383,0.495356651,19.33397182,1184.952401,12538123553,50488752684,551370770.2,6752.75
16,3.651619995,0.05741366,0.651690549,1.597465099,20.01072926,1048.133254,11090423738,55058660358,344224346.1,6063.75
17,18.40903296,0.059145228,0.683012594,1.816589596,18.63115147,866.1827622,9165183749,43125207227,279162306.6,6847
18,26.03795542,0.03821689,0.513065345,0.292756741,20.09848117,948.1382126,10032364204,53480777639,429679157.9,5663.75
19,79.03982543,0.02692441,0.587023819,0.160906564,20.18515554,975.9992387,10327165064,52275669150,432179509.1,5207
20,27.77675671,0.061629813,0.695564384,1.009896155,19.05696675,917.0308453,9703213418,46812642508,364289461,6775.75
21,3.024919925,0.073776907,0.53697372,1.896288602,21.78322814,1102.943405,11670376519,74973828949,339279544.4,2253.5
22,21.51873862,0.051781013,0.301902047,0.894842639,17.08455867,998.7019706,10567385395,29481390465,297245553.7,6800
23,66.40135783,0.04644538,0.703304231,0.416672,19.82692949,875.4778885,9263536596,52071704145,386039611.2,6210.75
24,51.16961099,0.081811069,0.786386461,1.08868778,19.02027904,927.0503447,9809230943,48250992599,373794217,6835.75
25,49.46414678,0.065839254,0.470804899,0.635453831,15.98670705,851.9970019,9015082517,22725828663,320882524.4,6850
26,40.32203636,0.065476341,0.81842152,0.588067799,18.28595065,974.5879158,10312231687,39984418930,483574082,6788
27,87.94341797,0.084022883,0.573602775,0.668068074,16.62377462,1090.541028,11539145477,27856744788,444548252.4,6867.25
28,21.6656381,0.059536666,0.585581596,1.905989947,16.72856414,965.9851848,10221205159,27498580159,278190219.6,6860
29,69.18630716,0.063069314,0.351584215,1.51495657,20.70650435,1031.507619,10914505898,62923463168,218763196.5,4629
30,17.14299805,0.057029025,0.718162286,1.265977735,17.35846603,1018.956267,10781698531,31882951267,376017470.4,6795.5
31,74.58481905,0.079671691,0.405276318,1.81282037,19.85765899,848.9360973,8982694718,56919352151,205159544.9,6563.25
32,56.52099236,0.048674046,0.437435776,2.095031637,18.3841511,961.8260656,10177197019,39742537048,192777473.2,6853.5
33,31.57885705,0.068472073,0.395981796,0.200110627,18.51807968,982.4179905,10395082648,42370892453,490983904.1,6784.75
34,69.82451981,0.039922759,0.662657903,1.381533592,19.4459792,1035.77927,10959704750,47503881728,244609295.1,6637.5
35,32.57999665,0.067216434,0.856133373,0.719083477,20.46694045,996.7768319,10547015272,60362932926,494835476.9,5123.5
36,36.99855047,0.053146994,0.48907716,0.742792569,17.00871399,1052.822799,11140044370,28691091797,363532035.1,6769.5
37,54.17188881,0.067985457,0.480064201,1.142809804,17.54488381,1190.16414,12593269589,33743712767,343240064.7,6796.25
38,61.40715547,0.018069102,0.608535378,1.478828522,19.40535657,1026.655203,10863161902,44138442246,187996453.5,6550
39,70.03025302,0.054251321,0.648521234,1.418630761,20.12874398,932.1908098,9863622821,56212854356,241453502.6,5802.75
40,49.13571241,0.055166228,0.627316278,0.382127893,21.17986236,907.7325511,9604827052,66439811820,423646680.9,3661.25
41,72.30894089,0.073407881,0.698142969,1.201316599,17.52416633,1143.42473,12098714278,34013160144,362959588.6,6818.25
42,33.4486021,0.055657594,0.59482023,0.842929469,17.78715341,923.7750234,9774574376,35378880835,343816900.4,6793.25
43,85.99535982,0.076091866,0.374309452,2.010495342,16.67580554,1220.017329,12909149760,27624753403,273235285.5,6879.75
44,4.197092096,0.034849527,0.641257691,0.857228512,18.19399121,908.8518631,9616670626,36560890654,348831592.3,6732.75
45,53.31030114,0.060965666,0.589955718,1.316094817,18.97603162,1080.71049,11435127378,45512935084,307237877,6769.25
46,0.892005385,0.046127367,0.809491475,0.437990994,19.81515694,1070.56789,11327807312,51277507744,594091113.2,6244.75
47,9.546260689,0.06556992,0.478403599,1.403781088,17.03456026,1106.7388,11710536051,29942141871,350974182.8,6826
48,86.99356715,0.03584453,0.716375601,1.762408582,21.12981357,922.8041442,9764301387,63836919317,204640922.3,3488.75
49,22.46280299,0.07895762,0.505617372,1.331932924,19.8839709,1128.415748,11939902436,55809060425,385376806.5,6385.5
50,71.84336248,0.042024017,0.579004873,0.255341824,18.67803703,1092.98296,11564983857,40366274280,470548128.7,6695.25
51,41.69115876,0.037428244,0.755515621,0.67442015,17.70713835,817.9478421,8654804271,33088293707,325501481.8,6741
52,74.36364097,0.048530616,0.53948482,0.48033831,20.91149751,1213.031108,12835227721,61686294112,455718821.6,3988
53,54.60331213,0.062983459,0.384688242,1.300899124,20.27215556,962.9602218,10189197662,58707110883,236194346.3,5576
54,8.653554405,0.033863766,0.575156769,0.806755796,16.80652509,876.3787551,9273068774,25942384617,322915603.4,6750.75
55,76.13200561,0.086750458,0.812264598,0.919316052,17.91630282,993.4349536,10511654457,38564145612,410041038.1,6872
56,38.2626309,0.0602316,0.457521683,1.857709312,19.68311399,831.6284397,8799560316,53274341488,211901991.4,6654.5
57,83.65581004,0.095540914,0.49073819,0.817200006,19.11660648,956.0910695,10116514338,50255412891,355149605.2,6876.5
58,18.80475341,0.059945179,0.540699557,1.774823407,19.1093408,1032.92241,10929475969,46989326830,297056717.1,6792.25
59,81.65712894,0.071021984,0.558627975,0.946351642,15.6585928,882.8720182,9341774769,20695015677,283936569.1,6890
60,27.02928112,0.040580942,0.735185821,1.248064979,18.9718751,873.6789347,9244501649,43903235091,288247287.1,6737.5
61,49.97331418,0.08780101,0.609882822,1.283974724,19.15236288,1039.474789,10998807482,49774942900,355875607.6,6835
62,50.23791883,0.063705729,0.58432903,1.824398916,18.16447141,1174.674724,12429374219,38530689499,314277497.4,6799
63,13.92697535,0.028283654,0.548837921,1.432247194,18.31457808,1154.815769,12219244232,36064839567,299110110.4,6659
64,28.00842927,0.0260477,0.62223244,1.586500407,17.38122571,1194.441667,12638530610,28437273691,291885666.3,6641.5
65,59.45827267,0.043512577,0.577281729,0.778913093,17.33770155,1024.312986,10838378625,30253388525,314213807.8,6745.75
66,18.22017073,0.064072921,0.507852018,1.057196029,20.35268954,911.8995516,9648918584,59678929532,331216813.4,5432.5
67,77.83975416,0.089119537,0.718658048,0.507037358,20.64719812,1116.704086,11815979935,63862506210,544227691.7,4870
68,42.56952858,0.092243303,0.701469016,0.147302785,16.23274558,839.3587454,8881355608,26114534373,572494446.6,6890.25
69,58.41517009,0.064691201,0.421012989,1.850226945,18.78981255,936.4207914,9908380764,44965302419,213339018.6,6886
70,58.6945211,0.049652984,0.483184129,1.913897624,17.15484547,933.16951,9873978565,29968888517,197489955.9,6868.5
71,33.29850435,0.070826942,0.362175532,1.229150034,20.14494167,1136.242179,12022714843,57606127612,329854800.3,5904
72,53.76756886,0.066826661,0.666963896,0.751526791,20.44466125,846.6804215,8958827141,60838469190,343640071.9,5188.5
73,21.00781499,0.087267626,0.879420578,1.978010363,18.031811,1036.369286,10965947782,39728907397,412850124.8,6882.25
74,15.32473813,0.0687499,0.466346626,1.679400048,18.93923072,1131.859248,11976338521,45993319386,333413752.6,6804.5
75,85.27669421,0.040778393,0.599792494,1.996428043,19.77939749,905.1864099,9577886025,51482166527,186191542.1,6405.25
76,67.96431199,0.048894741,0.680324807,1.831545022,18.87827034,1201.815476,12716553764,42961093766,297187503.8,6737.75
77,63.93982461,0.044840369,0.731226925,2.027010943,20.86579772,1196.824176,12663740224,61314978790,300253282.4,4059.25
78,84.76317748,0.056135442,0.45495121,1.949107019,18.84337408,1014.082307,10730126581,44284049313,209288969.8,6853
79,1.166770275,0.077688394,0.524137019,0.312512454,17.94949897,921.7096014,9752719897,38595573541,542117858.8,6860
80,16.04988332,0.06000757,0.591427636,0.870406653,20.22493635,872.4063881,9231036681,57972068803,363331924.1,5684.75
81,60.17996805,0.075645871,0.787825117,1.482867437,18.78189384,1172.681376,12408282363,44743582635,388270008.5,6799
82,6.915665877,0.046013385,0.342067441,2.025751711,18.83503293,930.2318177,9842894491,43569323924,197906043.4,6840
83,82.99090506,0.049506153,0.571695541,1.532558629,17.86265882,859.7530174,9097149848,35627200667,193489266.1,6868.5
84,88.98455452,0.053887824,0.35672819,0.139922926,16.57246868,910.6925407,9636147056,25741989180,425382072.7,6827.25
85,22.0178715,0.056242363,0.657826367,0.461805554,19.91437703,1222.859482,12939222925,52932935653,593486853,6127.75
86,59.14119437,0.060874442,0.74860924,0.823808372,17.5524429,1146.347496,12129640419,33116711003,431976121.6,6760.25
87,82.27377665,0.07252998,0.600140965,0.468231633,19.25603664,971.9747211,10284581161,49281260465,438794868.8,6782.25
88,88.30654472,0.05658127,0.425639684,1.871696232,21.03392305,1025.207565,10847844271,65582287000,209550145.2,3961
89,46.46866246,0.064344244,0.687112797,1.715376884,21.23453488,959.4058189,10151588099,68562490843,289012775.3,3623.75
90,7.653477794,0.069764793,0.53862011,1.626483183,18.45255114,1141.617673,12079593596,41689426809,363917214.6,6819.75
91,18.93025684,0.084494517,0.712913402,0.477435022,20.51879981,781.1749131,8265705497,63567485834,488819348.5,5249.25
92,60.92657551,0.067864571,0.543816261,1.923608379,18.12158989,1066.934294,11289359799,38915247952,268376353.9,6862.25
93,16.55167561,0.062366592,0.411836286,1.126326703,18.57562314,1082.588485,11454998668,42249113550,347419526.1,6790.25
94,38.40817439,0.045358397,0.678163282,1.159956707,18.13365691,1077.322169,11399275151,36644505938,336693563.4,6728.5
95,44.7979748,0.064470011,0.681738981,1.461788063,19.47045204,1121.702795,11868871880,50298612283,351230540.7,6683.75
96,74.92235427,0.050324941,0.513805112,1.137876392,21.10335904,1042.536395,11031202704,64999545787,255402410.1,3706.75
97,78.75977722,0.050830738,0.563263591,1.989362037,19.86646554,823.07778,8709084759,53942629453,181196455.6,6395.75
98,16.93984199,0.052077144,0.474507852,1.79933649,18.3632385,811.992884,8591794144,40428242275,216093034,6879.75
99,30.94468593,0.070665077,0.379382739,0.603986323,17.61667133,900.1592334,9524692868,35458366580,358776904.4,6845
100,2.500190922,0.05811567,0.517136741,0.659872164,17.9888735,1054.623659,11159099495,36894566044,458856698.5,6783.25
101,10.82473984,0.077977505,0.654688127,0.117385012,19.3419884,985.2989892,10425566841,50564787358,663136991.7,6761.25
102,31.41691657,0.07872855,0.432338709,1.712714629,19.9621034,1041.432094,11019517962,57052040405,299098645.2,6327.5
103,29.55425291,0.070154685,0.518659274,0.987323151,16.86623605,991.797902,10494332617,29207971034,359002854.3,6840
104,82.56002896,0.074624686,0.709177506,1.390665241,21.70991151,1112.720198,11773825946,73882066720,340204888.2,2448.5
105,39.10100508,0.055295011,0.684769783,1.394190181,19.36183422,1008.63869,10672527017,48707557479,314024882.1,6708
106,34.36873689,0.052549275,0.671583779,0.123193151,18.75323261,894.8440206,9468451963,42936221312,529128390.5,6735
107,11.33096064,0.047913451,0.630509747,0.246834727,19.03071968,980.1492596,10371076933,44696784351,544895574.1,6718.25
108,72.14904946,0.074720069,0.6056307,0.349444989,18.69038946,935.0918066,9894318617,44382031618,456242954.3,6820
109,10.05620073,0.059836364,0.52936008,0.522353589,16.4402164,926.0563614,9798713487,25400409007,442368444,6820.25
110,67.07926905,0.075962841,0.688951523,1.277097968,17.41798725,1029.645334,10894800833,33733549157,325820987.4,6858
